TransactionId,UserId,VisitYear,VisitMonth,VisitMode_x,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,Continent,AttractionType,VisitModeId,VisitMode_y
14,914,2019,8,4,2514,4.614221839646154,3,10,145,384,5804,Market,Night Market - Viimsi,"Main Street, Viimsi, Estonia",Asia,,4,Friends
15,155,2016,11,4,2151,2.697345828757461,5,12,104,540,2641,Market,Night Market - Bagram,"Main Street, Bagram, Afghanistan",Europe,,4,Friends
16,567,2020,11,3,2535,2.3440923053553613,3,20,25,6161,5815,Temple,Grand Mosque - Bad Neuenahr-Ahrweiler,"Main Street, Bad Neuenahr-Ahrweiler, Germany",Asia,,3,Family
17,694,2021,8,3,1693,3.7331549857496675,2,12,126,7830,289,Beach,Paradise Beach - San Pedro La Laguna,"Main Street, San Pedro La Laguna, Guatemala",America,,3,Family
18,722,2023,3,4,1621,3.1412545105717515,2,5,161,3607,244,Park,Botanical Garden - Puerto Rico,"Main Street, Puerto Rico, Puerto Rico",America,,4,Friends
19,888,2020,7,4,2017,5.0,2,13,51,490,2516,Market,Farmers' Market - Sulaymaniyah,"Main Street, Sulaymaniyah, Iraq",America,,4,Friends
20,471,2017,12,5,2011,4.520250792792616,1,2,158,4288,2514,Museum,Cultural Heritage Center - Baghdad,"Main Street, Baghdad, Iraq",Africa,,5,Solo
21,75,2019,3,3,2617,3.433402653555533,5,2,140,7928,6157,Museum,Cultural Heritage Center - Kragujevac,"Main Street, Kragujevac, Serbia",Europe,,3,Family
22,277,2018,4,5,2895,2.4370550989023902,5,12,5,7867,7323,Temple,Sacred Shrine - Westerlo,"Main Street, Westerlo, Belgium",Europe,,5,Solo
23,940,2019,9,4,2294,2.802071926525061,4,2,52,2876,3322,Park,Eco Park - Cheras,"Main Street, Cheras, Malaysia",Australia & Oceania,,4,Friends
24,645,2022,4,4,1746,2.5702544923260295,2,20,157,5486,604,Park,National Park - Ixtapa-Zihuatanejo-Guerrero,"Main Street, Ixtapa-Zihuatanejo-Guerrero, Mexico",America,,4,Friends
25,343,2022,3,4,2243,3.678191414849909,2,2,115,3675,2986,Museum,History Museum - Kampong Jerudong,"Main Street, Kampong Jerudong, Brunei Darussalam",America,,4,Friends
26,425,2020,5,2,2372,4.219914418938174,2,20,152,5142,5150,Museum,History Museum - St Peters,"Main Street, St Peters, Australia",America,,2,Couples
27,571,2015,7,1,1311,2.243026432814231,4,12,102,3803,3,Market,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad",Australia & Oceania,,1,Business
28,511,2022,5,4,1422,2.260376358752326,5,14,23,7263,49,Temple,Ancient Temple - Al Rehab,"Main Street, Al Rehab, Egypt",Europe,,4,Friends
29,857,2022,4,3,2214,3.401935224733147,2,12,125,2891,2944,Beach,Golden Sand Beach - Hyderabad,"Main Street, Hyderabad, Pakistan",America,,3,Family
30,182,2016,8,4,2827,1.7761376671906661,2,13,56,7704,6875,Park,National Park - Monza,"Main Street, Monza, Italy",America,,4,Friends
31,458,2018,4,3,2195,4.305116024518828,4,12,19,2525,2934,Park,Wildlife Reserve - Male,"Main Street, Male, Maldives",Australia & Oceania,,3,Family
32,918,2016,2,3,1366,3.5734330652077344,5,13,147,6205,30,Market,Farmers' Market - Sudan,"Main Street, Sudan, Sudan",Europe,,3,Family
33,851,2018,10,2,2688,2.9854992318914166,2,19,6,3,6385,Temple,Cathedral - Novosibirsk,"Main Street, Novosibirsk, Russia",America,,2,Couples
34,833,2024,6,4,1438,2.70178151820009,2,5,65,8386,71,Temple,Sacred Shrine - Merzouga,"Main Street, Merzouga, Morocco",America,,4,Friends
35,64,2021,2,2,1415,4.618693750126947,3,19,36,6556,44,Market,Night Market - Alger,"Main Street, Alger, Algeria",Asia,,2,Couples
36,839,2023,3,4,1390,1.8619451673982108,4,14,158,5992,39,Beach,Sunset Cove - Lusaka,"Main Street, Lusaka, Zambia",Australia & Oceania,,4,Friends
37,260,2022,1,3,1379,4.979296035548126,2,5,107,5242,32,Temple,Cathedral - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",America,,3,Family
38,193,2023,5,4,2290,3.0068208096636906,5,14,54,2223,3303,Market,Local Bazaar - Vientiane,"Main Street, Vientiane, Laos",Europe,,4,Friends
39,655,2022,9,1,2279,4.522494063900089,4,11,162,4427,3087,Park,Eco Park - Gili Meno,"Main Street, Gili Meno, Indonesia",Australia & Oceania,,1,Business
40,616,2016,2,2,2421,3.9150458333295344,5,12,64,7072,5476,Temple,Sacred Shrine - Ebeye Island,"Main Street, Ebeye Island, Marshall Islands",Europe,,2,Couples
41,972,2021,12,4,1335,1.9166829066481532,5,3,22,3505,12,Temple,Ancient Temple - Shimoni,"Main Street, Shimoni, Kenya",Europe,,4,Friends
42,406,2016,7,3,2095,4.8261451460374145,5,3,28,5635,2558,Temple,Sacred Shrine - Hebron,"Main Street, Hebron, Palestine",Europe,,3,Family
43,726,2016,5,2,2159,3.7287073347980204,5,17,8,6297,2644,Beach,Sunset Cove - Barisal Division,"Main Street, Barisal Division, Bangladesh",Europe,,2,Couples
44,754,2018,2,5,2899,1.1292076516613938,3,21,51,4546,7211,Museum,Art Gallery - Breendonk,"Main Street, Breendonk, Belgium",Asia,,5,Solo
45,943,2015,8,2,2948,1.5348107284386798,5,12,102,690,7831,Park,Botanical Garden - Roosendaal,"Main Street, Roosendaal, Netherlands",Europe,,2,Couples
46,721,2019,11,3,2836,4.042512223342781,5,18,12,4842,6958,Temple,Sacred Shrine - Marsaxlokk,"Main Street, Marsaxlokk, Malta",Europe,,3,Family
47,93,2020,6,2,2577,3.6504020115211397,5,17,78,4729,6076,Beach,Golden Sand Beach - Kehlen,"Main Street, Kehlen, Luxembourg",Europe,,2,Couples
48,430,2023,4,3,2296,4.48660573135038,2,9,55,3274,3322,Temple,Ancient Temple - Cheras,"Main Street, Cheras, Malaysia",America,,3,Family
49,654,2024,4,3,2409,4.380981603099928,5,12,86,1185,5475,Museum,Cultural Heritage Center - Tamuning,"Main Street, Tamuning, Mariana Islands",Europe,,3,Family
50,434,2022,2,2,2943,3.6380798186798198,2,13,104,3552,7758,Temple,Grand Mosque - Huizen,"Main Street, Huizen, Netherlands",America,,2,Couples
51,404,2016,3,4,1497,4.56495560698569,5,6,125,3157,137,Museum,Science Museum - Johannesburg South,"Main Street, Johannesburg South, South Africa",Europe,,4,Friends
52,434,2015,7,3,1427,3.8003428235694914,2,13,104,3552,56,Market,Local Bazaar - El Alamein,"Main Street, El Alamein, Egypt",America,,3,Family
53,112,2016,3,4,2585,2.5431655420978196,2,13,136,3608,6075,Temple,Grand Mosque - Kayl,"Main Street, Kayl, Luxembourg",America,,4,Friends
54,929,2021,5,2,1453,4.649506454922873,5,7,5,6484,80,Temple,Sacred Shrine - Tunis,"Main Street, Tunis, Tunisia",Europe,,2,Couples
55,375,2018,10,3,2281,1.5728561237279117,2,14,98,1423,3087,Beach,Sunset Cove - Gili Meno,"Main Street, Gili Meno, Indonesia",America,,3,Family
56,59,2024,6,1,2144,2.466246879485961,2,17,136,7652,2617,Museum,Cultural Heritage Center - Abu Dhabi,"Main Street, Abu Dhabi, United Arab Emirates",America,,1,Business
57,43,2019,6,4,1819,4.415481172388653,2,14,139,3702,2231,Beach,Paradise Beach - Cali,"Main Street, Cali, Colombia",America,,4,Friends
58,207,2021,4,4,2515,3.2086241645986973,2,21,55,973,5804,Temple,Ancient Temple - Viimsi,"Main Street, Viimsi, Estonia",America,,4,Friends
59,780,2017,6,4,2443,1.5993376299200572,5,13,153,19,5680,Museum,History Museum - Lae,"Main Street, Lae, Papua New Guinea",Europe,,4,Friends
60,296,2024,3,3,2431,1.7639236124648527,4,2,152,8712,5575,Park,Eco Park - North Shore,"Main Street, North Shore, New Zealand",Australia & Oceania,,3,Family
61,118,2016,7,4,2658,4.094549476553155,2,14,150,7123,6329,Market,Flea Market - Baku,"Main Street, Baku, Azerbaijan",America,,4,Friends
62,532,2021,7,4,2419,5.0,5,16,87,8709,5476,Park,Eco Park - Ebeye Island,"Main Street, Ebeye Island, Marshall Islands",Europe,,4,Friends
63,222,2019,4,1,2642,3.2074545433379957,4,14,152,5244,6182,Beach,Golden Sand Beach - Branik,"Main Street, Branik, Slovenia",Australia & Oceania,,1,Business
64,166,2015,2,2,1414,3.0270312720950763,5,20,13,2101,44,Museum,Art Gallery - Alger,"Main Street, Alger, Algeria",Europe,,2,Couples
65,643,2015,11,3,2576,2.773300852225069,2,20,38,5695,6076,Museum,History Museum - Kehlen,"Main Street, Kehlen, Luxembourg",America,,3,Family
66,156,2023,7,4,2760,2.5267626954642526,2,2,64,1462,6711,Park,Botanical Garden - Tyreso,"Main Street, Tyreso, Sweden",America,,4,Friends
67,184,2019,3,1,2509,1.0839399270251389,5,2,132,1402,5775,Market,Flea Market - Lovosice,"Main Street, Lovosice, Czech Republic",Europe,,1,Business
68,90,2015,1,4,1703,2.5918194705618847,4,11,146,5277,290,Park,Eco Park - goprohonduras,"Main Street, goprohonduras, Honduras",Australia & Oceania,,4,Friends
69,94,2021,2,3,1999,3.2964417634610097,4,12,124,2625,2495,Beach,Crystal Bay - Iran,"Main Street, Iran, Iran",Australia & Oceania,,3,Family
70,13,2023,10,3,2436,2.2917991321958007,5,19,97,8606,5495,Market,Farmers' Market - Bay of Plenty Region,"Main Street, Bay of Plenty Region, New Zealand",Europe,,3,Family
71,973,2015,9,2,2568,1.3493919539257169,5,12,93,992,6066,Market,Farmers' Market - Gargzdai,"Main Street, Gargzdai, Lithuania",Europe,,2,Couples
72,834,2024,12,4,1327,4.37091146901841,2,13,31,3720,7,Park,National Park - Karen,"Main Street, Karen, Kenya",America,,4,Friends
73,805,2018,8,1,2901,4.5784810762722685,4,17,160,1777,7211,Museum,Science Museum - Breendonk,"Main Street, Breendonk, Belgium",Australia & Oceania,,1,Business
74,945,2017,6,1,2110,4.747088278748342,2,14,161,2104,2582,Park,Botanical Garden - Medina,"Main Street, Medina, Saudi Arabia",America,,1,Business
75,742,2019,6,4,2666,3.9719949139879573,3,20,113,8144,6331,Market,Flea Market - Minsk Region,"Main Street, Minsk Region, Belarus",Asia,,4,Friends
76,834,2021,1,3,1671,1.7110983303971272,2,13,31,3720,257,Temple,Cathedral - belize,"Main Street, belize, Belize",America,,3,Family
77,804,2022,2,3,2148,4.463450519847093,4,11,48,193,2642,Museum,Science Museum - Kabul,"Main Street, Kabul, Afghanistan",Australia & Oceania,,3,Family
78,438,2016,4,2,2405,1.4403812210475455,5,8,130,153,5473,Museum,Art Gallery - Guam,"Main Street, Guam, Mariana Islands",Europe,,2,Couples
79,538,2021,3,3,2786,4.178992470751296,2,6,38,3105,6727,Park,Wildlife Reserve - Gradacac,"Main Street, Gradacac, Bosnia and Herzegovina",America,,3,Family
80,587,2015,1,1,1882,4.117463342991503,2,1,61,1743,2256,Museum,Science Museum - Almaty,"Main Street, Almaty, Kazakhstan",America,,1,Business
81,968,2021,8,2,1603,3.903458843305891,3,0,69,2851,239,Beach,Sunset Cove - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman",Asia,,2,Couples
82,876,2022,7,3,2098,5.0,2,21,141,8236,2563,Market,Night Market - Al-Rayyan,"Main Street, Al-Rayyan, Qatar",America,,3,Family
83,936,2016,4,3,2860,4.4525851378695585,3,2,147,1094,6976,Park,Botanical Garden - Albufeira,"Main Street, Albufeira, Portugal",Asia,,3,Family
84,811,2023,12,5,1552,3.772839111927234,5,16,152,3701,227,Market,Night Market - New Providence Island,"Main Street, New Providence Island, Bahamas",Europe,,5,Solo
85,150,2015,12,3,1396,2.5469726887324096,3,10,129,7431,42,Museum,Cultural Heritage Center - Victoria Falls,"Main Street, Victoria Falls, Zambia",Asia,,3,Family
86,660,2020,9,3,1582,5.0,4,20,87,4371,234,Temple,Sacred Shrine - Willemstad,"Main Street, Willemstad, Curacao",Australia & Oceania,,3,Family
87,8,2015,11,3,2227,2.2181754831766676,5,12,129,3748,2968,Temple,Sacred Shrine - Maharagama,"Main Street, Maharagama, Sri Lanka",Europe,,3,Family
88,29,2017,4,2,2889,4.619586445892505,4,16,77,5777,7105,Temple,Grand Mosque - Las Virtudes,"Main Street, Las Virtudes, Spain",Australia & Oceania,,2,Couples
89,296,2020,1,5,1338,2.2506501733836415,4,2,152,8712,18,Market,Local Bazaar - Mauritius,"Main Street, Mauritius, Mauritius",Australia & Oceania,,5,Solo
90,986,2017,10,4,1612,2.020654375510675,4,12,163,7083,242,Temple,Sacred Shrine - Kingston,"Main Street, Kingston, Jamaica",Australia & Oceania,,4,Friends
91,926,2022,1,2,2389,4.306732109084683,1,17,140,7648,5466,Temple,Ancient Temple - Viti Levu,"Main Street, Viti Levu, Fiji",Africa,,2,Couples
92,721,2019,1,4,2591,1.5099818144033166,5,18,12,4842,6099,Temple,Cathedral - Lodz,"Main Street, Lodz, Poland",Europe,,4,Friends
93,640,2016,1,1,1443,4.328353270723323,3,5,150,1135,75,Beach,Crystal Bay - Bizerte,"Main Street, Bizerte, Tunisia",Asia,,1,Business
94,340,2018,4,5,2151,2.0492473681839036,2,6,87,629,2641,Market,Night Market - Bagram,"Main Street, Bagram, Afghanistan",America,,5,Solo
95,628,2023,1,5,2366,4.538885091022485,5,13,8,7295,4503,Temple,Cathedral - Kings Beach,"Main Street, Kings Beach, Australia",Europe,,5,Solo
96,439,2018,2,4,1410,4.2659167289663165,5,13,7,5755,47,Park,Eco Park - Oran,"Main Street, Oran, Algeria",Europe,,4,Friends
97,144,2024,4,1,2198,3.6647333314023602,3,10,128,2017,2936,Market,Flea Market - Bhaktapur,"Main Street, Bhaktapur, Nepal",Asia,,1,Business
98,942,2024,7,2,2314,2.4612782526593735,4,9,70,1838,3427,Market,Local Bazaar - Mandalay,"Main Street, Mandalay, Myanmar",Australia & Oceania,,2,Couples
99,830,2022,2,2,1448,1.237611895563084,4,1,136,6802,76,Market,Local Bazaar - Carthage,"Main Street, Carthage, Tunisia",Australia & Oceania,,2,Couples
100,747,2019,8,2,2336,4.320292392822309,3,14,2,6816,3545,Museum,Art Gallery - Pasir Ris,"Main Street, Pasir Ris, Singapore",Asia,,2,Couples
101,519,2024,7,3,2760,2.183615180706112,5,16,15,7952,6711,Park,Botanical Garden - Tyreso,"Main Street, Tyreso, Sweden",Europe,,3,Family
102,976,2015,9,5,1359,2.489034567579009,3,0,138,1259,26,Beach,Sunset Cove - Victoria,"Main Street, Victoria, Seychelles",Asia,,5,Solo
103,45,2021,6,3,2560,3.901418742036327,3,14,135,7399,6064,Museum,History Museum - Ventspils,"Main Street, Ventspils, Latvia",Asia,,3,Family
104,955,2017,4,4,1301,3.429014954242487,4,2,48,8491,0,Museum,Cultural Heritage Center - -,"Main Street, -, -",Australia & Oceania,,4,Friends
105,239,2024,6,4,1945,2.294642540685272,5,2,118,5103,2383,Market,Night Market - nyk,"Main Street, nyk, Japan",Europe,,4,Friends
106,952,2022,4,5,2873,1.5624654275291356,5,19,135,4989,7033,Beach,Paradise Beach - Bitola,"Main Street, Bitola, Republic of North Macedonia",Europe,,5,Solo
107,944,2017,7,1,2655,1.4929850890011624,5,18,75,3760,6252,Beach,Paradise Beach - Langenthal,"Main Street, Langenthal, Switzerland",Europe,,1,Business
108,155,2015,9,3,2424,4.952031525996803,5,12,104,540,5479,Museum,Art Gallery - Noumea,"Main Street, Noumea, New Caledonia",Europe,,3,Family
109,181,2019,3,4,2026,1.6262381962453345,3,6,70,4980,2518,Beach,Sunset Cove - Beit She'an,"Main Street, Beit She'an, Israel",Asia,,4,Friends
110,215,2016,3,4,1649,5.0,5,6,159,8836,254,Market,Farmers' Market - TRINIDAD AND TOBAGO,"Main Street, TRINIDAD AND TOBAGO, Trinidad and Tobago",Europe,,4,Friends
111,88,2018,2,5,2233,1.7941147615416564,5,6,15,9081,2964,Beach,Paradise Beach - Jaffna,"Main Street, Jaffna, Sri Lanka",Europe,,5,Solo
112,256,2015,1,4,2568,1.9412891875163125,4,16,61,1697,6066,Market,Farmers' Market - Gargzdai,"Main Street, Gargzdai, Lithuania",Australia & Oceania,,4,Friends
113,511,2023,1,2,2447,3.3078866191071805,5,14,23,7263,5681,Museum,Science Museum - Port Moresby,"Main Street, Port Moresby, Papua New Guinea",Europe,,2,Couples
114,73,2020,3,3,1654,1.8199438317627865,1,3,149,6047,256,Beach,Paradise Beach - The Bight Settlement,"Main Street, The Bight Settlement, Turks and Caicos Islands",Africa,,3,Family
115,931,2022,7,1,1802,3.4098130526543797,2,9,46,161,2212,Beach,Golden Sand Beach - Sorocaba,"Main Street, Sorocaba, Brazil",America,,1,Business
116,179,2018,11,4,1467,4.902506579254453,5,6,75,2065,85,Beach,Crystal Bay - Chintheche,"Main Street, Chintheche, Malawi",Europe,,4,Friends
117,212,2023,9,3,1542,1.6915920858696993,5,1,158,2208,223,Beach,Paradise Beach - Dakar,"Main Street, Dakar, Senegal",Europe,,3,Family
118,805,2016,2,4,1768,4.6994744181141765,4,17,160,1777,1021,Museum,Art Gallery - Evansville,"Main Street, Evansville, United States",Australia & Oceania,,4,Friends
119,234,2023,7,5,1726,2.5779097639284747,4,4,63,7469,298,Temple,Sacred Shrine - Panama,"Main Street, Panama, Panama",Australia & Oceania,,5,Solo
120,465,2019,1,4,1317,2.13796253532484,5,4,16,3409,5,Temple,Cathedral - Kigali Province,"Main Street, Kigali Province, Rwanda",Europe,,4,Friends
121,751,2020,2,3,2237,2.204385921069836,2,20,75,5521,2988,Park,Wildlife Reserve - Kuala Belait,"Main Street, Kuala Belait, Brunei Darussalam",America,,3,Family
122,223,2017,6,2,2255,4.675058174776905,2,12,109,6615,2995,Museum,Art Gallery - Poipet,"Main Street, Poipet, Cambodia",America,,2,Couples
123,631,2018,11,5,1799,1.4424230077626579,5,6,76,8265,2213,Temple,Ancient Temple - State of Rio de Janeiro,"Main Street, State of Rio de Janeiro, Brazil",Europe,,5,Solo
124,825,2020,5,2,2271,4.467131148462628,4,2,49,4995,3276,Temple,Cathedral - Tembagapura,"Main Street, Tembagapura, Indonesia",Australia & Oceania,,2,Couples
125,264,2021,8,2,1895,3.1769784839344584,4,19,81,6590,2263,Temple,Grand Mosque - Ulaanbaatar,"Main Street, Ulaanbaatar, Mongolia",Australia & Oceania,,2,Couples
126,207,2015,12,2,2383,1.1562247152657563,2,21,55,973,5462,Museum,Art Gallery - Denarau Island,"Main Street, Denarau Island, Fiji",America,,2,Couples
127,607,2021,11,3,2747,3.3579045828693532,2,14,120,8476,6566,Beach,Crystal Bay - Bekkjarvik,"Main Street, Bekkjarvik, Norway",America,,3,Family
128,885,2015,2,1,1606,4.269798057905202,5,20,98,991,240,Beach,Crystal Bay - Seven Mile Beach,"Main Street, Seven Mile Beach, Grand Cayman",Europe,,1,Business
129,734,2019,1,5,2344,3.9048111505564016,4,6,68,137,3599,Beach,Sunset Cove - Ko Lanta,"Main Street, Ko Lanta, Thailand",Australia & Oceania,,5,Solo
130,366,2020,7,5,2787,2.9551296707388715,3,20,74,1133,6727,Temple,Sacred Shrine - Gradacac,"Main Street, Gradacac, Bosnia and Herzegovina",Asia,,5,Solo
131,276,2016,6,5,2926,4.440199518784868,4,5,74,2744,7605,Beach,Paradise Beach - Kerry,"Main Street, Kerry, Ireland",Australia & Oceania,,5,Solo
132,380,2024,8,1,650,1.4814590471209188,3,2,76,4571,1,13,Sanur Beach,Sanur,Asia,Beaches,1,Business
133,743,2023,11,5,1548,4.639764213569475,5,20,76,6969,225,Market,Local Bazaar - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda",Europe,,5,Solo
134,309,2024,8,5,2581,4.385764833933395,5,17,80,6218,6080,Market,Local Bazaar - Luxembourg District,"Main Street, Luxembourg District, Luxembourg",Europe,,5,Solo
135,631,2020,2,5,1340,3.833107302628944,5,6,76,8265,18,Market,Night Market - Mauritius,"Main Street, Mauritius, Mauritius",Europe,,5,Solo
136,268,2021,8,4,2428,4.7715509685149975,5,6,35,5086,5478,Beach,Paradise Beach - Noum̩a,"Main Street, Noum̩a, New Caledonia",Europe,,4,Friends
137,945,2024,6,4,2035,3.675262027370664,2,14,161,2104,2534,Museum,Art Gallery - Amman,"Main Street, Amman, Jordan",America,,4,Friends
138,785,2022,9,1,2238,3.7006497163906675,2,13,21,1949,2982,Beach,Golden Sand Beach - Brunei,"Main Street, Brunei, Brunei Darussalam",America,,1,Business
139,64,2024,12,5,2944,3.2423922828311156,3,19,36,6556,7758,Park,National Park - Huizen,"Main Street, Huizen, Netherlands",Asia,,5,Solo
140,810,2015,7,1,2265,2.4217141220317973,2,6,161,7375,3002,Temple,Cathedral - Metiaut,"Main Street, Metiaut, East Timor",America,,1,Business
141,350,2022,2,3,2684,3.7754431894447102,5,21,127,3163,6340,Market,Flea Market - Decatur,"Main Street, Decatur, Georgia",Europe,,3,Family
142,925,2018,8,5,1475,2.029861330127703,4,9,47,1231,89,Temple,Ancient Temple - Tofinho,"Main Street, Tofinho, Mozambique",Australia & Oceania,,5,Solo
143,915,2024,9,3,1527,3.261116683363141,4,2,101,4335,219,Market,Flea Market - Ilorin,"Main Street, Ilorin, NIGERIA",Australia & Oceania,,3,Family
144,494,2022,7,1,2197,2.1231016290409728,2,10,121,993,2934,Beach,Paradise Beach - Male,"Main Street, Male, Maldives",America,,1,Business
145,523,2020,4,5,1530,1.491551157845556,5,8,125,7292,222,Temple,Cathedral - Port Harcourt,"Main Street, Port Harcourt, NIGERIA",Europe,,5,Solo
146,98,2023,9,5,2050,2.2874474255596247,4,17,32,4524,2538,Temple,Grand Mosque - Kuwait City,"Main Street, Kuwait City, Kuwait",Australia & Oceania,,5,Solo
147,946,2018,4,2,1772,4.407948872739082,1,20,151,366,2159,Park,Eco Park - San Carlos de Bariloche,"Main Street, San Carlos de Bariloche, Argentina",Africa,,2,Couples
148,71,2016,12,5,2841,2.524323082569223,5,6,114,6920,6949,Museum,History Museum - Attard,"Main Street, Attard, Malta",Europe,,5,Solo
149,364,2016,4,3,1470,4.492014595875476,4,16,98,661,87,Museum,Cultural Heritage Center - Mozambique,"Main Street, Mozambique, Mozambique",Australia & Oceania,,3,Family
150,570,2019,9,3,2638,2.200791416952645,3,2,154,1989,6191,Beach,Golden Sand Beach - Logatec,"Main Street, Logatec, Slovenia",Asia,,3,Family
151,802,2024,8,2,1319,2.6976766366705665,2,1,104,817,4,Temple,Grand Mosque - Kigali,"Main Street, Kigali, Rwanda",America,,2,Couples
152,763,2023,4,1,2884,1.4594242773407062,2,6,2,7118,7132,Museum,Art Gallery - Ondara,"Main Street, Ondara, Spain",America,,1,Business
153,276,2017,8,2,2647,1.5544842534699588,4,5,74,2744,6223,Temple,Cathedral - Canton of Basel,"Main Street, Canton of Basel, Switzerland",Australia & Oceania,,2,Couples
154,50,2022,8,1,2810,3.4697455195602767,2,3,94,2829,6785,Market,Farmers' Market - Syvota,"Main Street, Syvota, Greece",America,,1,Business
155,358,2018,7,5,1630,3.4299272697960443,4,13,98,1914,248,Museum,History Museum - Philipsburg,"Main Street, Philipsburg, St Martin / St Maarten",Australia & Oceania,,5,Solo
156,728,2020,10,4,1312,2.353487629419449,5,17,91,8759,3,Museum,Cultural Heritage Center - N'Djamena,"Main Street, N'Djamena, Chad",Europe,,4,Friends
157,906,2024,6,5,2094,2.8976927771551946,5,17,82,5456,2558,Museum,History Museum - Hebron,"Main Street, Hebron, Palestine",Europe,,5,Solo
158,928,2020,8,4,2669,4.953224667911792,4,13,139,3941,6331,Temple,Ancient Temple - Minsk Region,"Main Street, Minsk Region, Belarus",Australia & Oceania,,4,Friends
159,564,2017,7,1,2056,1.6968060347059315,1,12,78,5694,2542,Beach,Golden Sand Beach - Salwa,"Main Street, Salwa, Kuwait",Africa,,1,Business
160,783,2019,5,5,2703,1.0768421322940593,3,11,38,5098,6411,Museum,Art Gallery - Rivne,"Main Street, Rivne, Ukraine",Asia,,5,Solo
161,485,2017,12,5,2038,3.6079805626542893,4,16,148,4174,2536,Market,Flea Market - Jordan,"Main Street, Jordan, Jordan",Australia & Oceania,,5,Solo
162,84,2015,4,3,1409,1.71399283235474,2,0,32,9010,45,Temple,Ancient Temple - Algiers,"Main Street, Algiers, Algeria",America,,3,Family
163,899,2021,12,1,2549,4.919760954289783,1,3,125,5945,6045,Museum,History Museum - Miskolc,"Main Street, Miskolc, Hungary",Africa,,1,Business
164,805,2018,2,4,2064,3.938481135195524,4,17,160,1777,2544,Beach,Sunset Cove - Beirut,"Main Street, Beirut, Lebanon",Australia & Oceania,,4,Friends
165,638,2021,11,4,1304,3.381585411375889,2,1,52,8561,2,Market,Night Market - South Region,"Main Street, South Region, Cameroon",America,,4,Friends
166,808,2017,8,5,1312,2.719970160097227,5,6,100,8443,3,Museum,Cultural Heritage Center - N'Djamena,"Main Street, N'Djamena, Chad",Europe,,5,Solo
167,584,2019,9,1,2187,3.2922826340677256,3,12,19,2196,2930,Park,National Park - Hulhumale Maldives,"Main Street, Hulhumale Maldives, Maldives",Asia,,1,Business
168,296,2019,4,1,2923,1.3624977468808597,4,2,152,8712,7576,Market,Flea Market - Cavan,"Main Street, Cavan, Ireland",Australia & Oceania,,1,Business
169,236,2016,4,4,2337,5.0,5,13,113,8653,3545,Park,Eco Park - Pasir Ris,"Main Street, Pasir Ris, Singapore",Europe,,4,Friends
